Trial           Max             min             avg             SD
eb-5            7.518637        0.575587        3.432397        3.097114
eb-10           6.006210        0.685627        2.056714        1.493773
eb-25           6.366740        0.385999        2.271020        1.877929
eb-50           9.441559        0.456855        2.448883        2.025696
eb-75           10.341176       0.412072        2.540611        2.077666
eb-100          11.320700       0.482167        2.831012        2.348907
eb-125          10.170357       0.523071        2.697851        2.135636
eb-5            8.589655        0.941718        4.254179        2.797355
eb-10           5.371437        1.434262        3.067957        1.308354
eb-25           4.966541        0.525049        2.401753        1.486150
eb-50           7.959399        0.557053        2.544858        1.565194
eb-75           10.667002       0.705770        2.800840        2.105185
eb-100          21.847673       0.602376        3.025074        2.576653
eb-125          13.163801       0.543375        2.636225        2.124725
eb-5            3.376858        0.800520        2.342461        1.119308
eb-10           10.327681       0.560367        3.756339        3.402314
eb-25           12.487011       0.637974        2.800883        2.459368
eb-50           9.580583        0.653033        3.377237        2.396008
eb-75           10.763064       0.461586        2.818942        2.153484
eb-100          9.809317        0.492771        2.847009        2.138703
eb-125          12.190555       0.540685        3.292936        2.306844
eb-5            2.331824        0.828720        1.333178        0.580163
eb-10           3.681606        0.798277        1.921641        1.031783
eb-25           12.741348       0.544761        3.460499        3.324807
eb-50           11.120393       0.432947        2.897600        2.281683
eb-75           8.376160        0.558053        3.057183        1.937225
eb-100          17.615310       0.475193        2.954700        2.633324
eb-125          14.358395       0.460374        2.974919        2.393439
eb-5            6.714213        0.926455        3.566117        2.637787
eb-10           5.665889        0.611424        2.386092        2.048436
eb-25           9.266105        0.422891        2.653418        1.988594
eb-50           8.665017        0.473018        2.629431        1.910335
eb-75           10.268817       0.428767        2.151975        2.007188
eb-100          11.748174       0.450325        2.752895        2.206398
eb-125          9.125431        0.375948        2.645620        1.930814
