Trail           Max             min             avd             SD
qubic-5         4.959573        4.572327        4.763341        0.142427
qubic-10        5.764239        4.499069        5.091745        0.415317
qubic-25        6.944573        4.442907        5.236429        0.623252
qubic-50        7.096218        4.510228        5.022262        0.479438
qubic-75        6.251824        4.375638        4.881603        0.330537
qubic-100       6.830658        4.441713        5.008012        0.443488
qubic-125       7.444108        4.471946        5.089632        0.469216
qubic-5         5.309329        4.647955        5.010315        0.297572
qubic-10        5.759657        4.592504        5.024871        0.384146
qubic-25        65.489435       4.517272        7.522813        12.086286
qubic-50        7.212472        4.269411        4.864529        0.482047
qubic-75        5.502093        4.397486        4.818917        0.280560
qubic-100       64.800231       4.468345        5.522372        5.997065
qubic-125       6.967832        4.395910        4.957868        0.415604
qubic-5         6.181572        4.591990        5.302061        0.773290
qubic-10        6.894934        4.686760        5.053040        0.658693
qubic-25        65.198378       4.610310        7.456680        12.032249
qubic-50        7.698971        4.536308        5.134493        0.598602
qubic-75        5.964554        4.366453        4.859481        0.328387
qubic-100       7.318948        4.436562        4.969546        0.447870
qubic-125       7.815279        4.303372        5.067570        0.486768
qubic-5         5.006261        4.494600        4.779442        0.196185
qubic-10        5.048897        4.343138        4.794882        0.211166
qubic-25        5.599003        4.456777        4.998686        0.322114
qubic-50        6.175084        4.400340        4.898285        0.385651
qubic-75        7.560767        4.411324        5.011306        0.524655
qubic-100       8.318308        4.384734        5.011552        0.637723
qubic-125       8.053749        4.408741        5.134621        0.744688
qubic-5         4.889532        4.431944        4.715434        0.188320
qubic-10        8.502958        4.447811        5.034443        1.238249
qubic-25        7.533304        4.473190        5.100992        0.718416
qubic-50        6.966738        4.406023        4.945909        0.477705
qubic-75        7.299033        4.358543        4.892546        0.459415
qubic-100       7.910804        4.456070        5.257236        0.553184
qubic-125       7.932963        4.617875        5.722290        0.654223
